benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
102,4.5,86,Airbnb, Company - Private,3.9,5001 to 10000 employees,10/31/15, 2008," Hotels, Motels, & Resorts", 3.1,825,"San Francisco, CA",32,22,305,46,75, Unknown / Non-Applicable,Amazing work environment great benefits inside the office Often decision makers are lacking and work life balance can be challenging,500 in Airbnb credits per quarter free food and all the cool Silicon Valley perks,11/2/14,,www.airbnb.com,2016
377,3.6,78,SolarCity, 2006,3.1,10000+ employees,10/31/15,, Subsidiary or Business Segment, 2.5,577,"San Mateo, CA",20,16,2341,64,51, Energy,No work life balance poor training Sometimes you work late or long hours to accommodate customer schedules,Good pay Great People Amazing Mission this is a really great company to work for if you love Elon this is the place for you Great place great people and atmosphere,11/2/14,,www.solarcity.com,2016
94,4.0,89,SAP Concur, 1993,3.8,1001 to 5000 employees,10/31/15,, Company - Public, 2.8,315,"Bellevue, WA",27,13,762,60,66, Computer Hardware & Software,Uncertainty around effects of SAP acquisition It doesn t pay as well as amazon or microsoft but thats not a big minus for having a great work life balance,Work life balance is heavy on the life side Nice team great people fun intern events,11/2/14,,www.concur.com,2016
235,3.7,83,Total Quality Logistics, Company - Private,3.7,5001 to 10000 employees,10/31/15, 1997, Transportation Management, 2.9,841,"Cincinnati, OH",28,22,2425,50,63, $2 to $5 billion (USD) per year,Stay late come early long hours Work Life balance You will be on call 24 7 365,Unlimited earning potential lots of time off each year you are with the company You wont find a more energetic work environment ANYWHERE else like ours,11/2/14,,www.tql.com,2016
485,4.0,93,NIKE, Company - Public (NKE) ,3.9,10000+ employees,10/31/15, 1972, Consumer Products Manufacturing, 2.6,"1,421","Beaverton, OR",11,16,4558,73,81, $10+ billion (USD) per year,long hours really hard but it isnt that bad We are open until 11PM so the work life balance is almost nonexistent,You get the best work environment Great team with an even better work life balance,11/2/14,NKE,jobs.nike.com,2016
112,4.0,91,Red Bull, Company - Private,4.0,10000+ employees,10/31/15, 1987, Food & Beverage Manufacturing, 2.9,469,Fuschl am See (Austria),11,18,1372,71,80, $5 to $10 billion (USD) per year,Work life balance can be a challenge sometimes Long hours To many people Quitting,Great company benefits fun atmosphere Fun and great people to work with,11/2/14,,www.redbull.com/en,2016
224,4.1,81,REI, Company - Private,3.8,5001 to 10000 employees,10/31/15, 1938, Sporting Goods Stores, 2.4,451,"Kent, WA",14,12,1568,74,77, $2 to $5 billion (USD) per year,They keep expenses down by not providing full time work for most of the staff When you are working part time you cannot expect large paychecks,Great coworkers and management really does a good job of working with you to create a satisfying work life balance great company with great people,11/2/14,,www.rei.com,2016
307,4.3,87,Gartner, Company - Public (IT) ,3.7,10000+ employees,10/31/15, 1979, Consulting, 3.4,"1,326","Stamford, CT",23,17,2795,60,70, $2 to $5 billion (USD) per year,While work life balance is available you need to grab it location in fort myers was okay for the summer but not sure if i could do it full time,pretty laid back work life balance The people these are the smart people in the room that you always hear about when discussing successful projects,11/2/14,IT,jobs.gartner.com,2016
298,4.1,93,Stryker, Company - Public (SYK) ,3.9,10000+ employees,10/31/15, 1941, Health Care Products Manufacturing, 3.3,"1,300","Portage, MI",23,25,2153,52,76, $10+ billion (USD) per year,Shift pattern can be hard to achieve a good work life balance sometimes long hours but overall good,Flexible timing work life balance Great company with a great mission to make healthcare better,11/2/14,SYK,www.stryker.com,2016
499,3.9,67,Disney Parks & Resorts, Subsidiary or Business Segment,3.7,10000+ employees,, 1901," Museums, Zoos & Amusement Parks", 2.4,"1,000","Orlando, FL",7,15,2874,78,70, $2 to $5 billion (USD) per year,Long hours and sporadic scheduling I hate my boss since he places some cast members over others,The atmosphere of magic and opportunities to advance your career Disney is a great place to learn about working in a large company that for the most part cares about its cast members,,,home.disney.go.com/travel,2015
