benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
488,4.7,91,Facebook, Company - Public (FB) ,4.4,10000+ employees,10/22/17, 2004, Internet, 3.1,"5,197","Menlo Park, CA",21,22,1444,57,87, $10+ billion (USD) per year,Work life balance can be better sometimes long hours and disconnect to overall strategy,Free food great atmosphere like a university campus Working with really smart people,11/1/16,FB,www.facebook.com,
191,2.9,90,BAYADA Home Health Care, Company - Private,4.1,10000+ employees,10/22/17, 1975, Health Care Services & Hospitals, 2.6,292,"Moorestown, NJ",17,15,1677,68,81, $1 to $2 billion (USD) per year,Office staff is very friendly willing to work with under certain circumstances Industry wide low pay for some positions,Also so much recognition given not just to the field staff but office staff as well from upper management Flexible Schedule Paid Time Off Overtime,11/1/16,,www.bayada.com,
799,3.9,91,KPMG, Subsidiary or Business Segment,3.7,10000+ employees,10/22/17, 1987, Accounting, 2.9,"6,232","New York, NY",11,19,2915,70,73, $2 to $5 billion (USD) per year,Long working hours even as an intern Fairly high work pressure leading to a moderate work life balance,Work life balance is good for consulting Great work environment to be apart of,11/1/16,,us-jobs.kpmg.com,
693,3.9,80,Walt Disney Company, Company - Public (DIS) ,3.8,10000+ employees,10/22/17, 1923, Motion Picture Production & Distribution, 2.7,"1,311","Burbank, CA",11,18,4100,71,75, $10+ billion (USD) per year,Salary not so good and long hours without break Chance of signing on full time is only fifty fifty even if you are a good competent worker,Great company with great benefits Good work life balance benefits,11/1/16,DIS,www.disney.com,
64,1.9,94,Liberty National, 1900,4.1,1001 to 5000 employees,10/22/17,, Subsidiary or Business Segment, 1.8,278,"McKinney, TX",38,23,703,39,80, Insurance Carriers,It is a lot of hard work in the beginning but the reward far out weighs the sacrifice Because it is a 1099 position there are no benefits or paid time off,I am a mom of four and with the ability to have a flexible schedule I have been promoted to agency director in six months I m not sure what brought me here but the people my team and the overall atmosphere and good work of helping people is why i do what i do now,11/1/16,,www.libertynational.com,
2918,4.3,77,Starbucks, Company - Public (SBUX) ,3.8,10000+ employees,10/22/17, 1971, Fast-Food & Quick-Service Restaurants, 2.3,"5,097","Seattle, WA",8,16,23780,76,75, $10+ billion (USD) per year,Baristas not always inclined to come to work fast paced environment is not for everybody,great company with great benefits Good pay free coffee great benefits,11/1/16,SBUX,www.starbucks.com,
273,4.2,91,Shell, Company - Public (RDSA) ,3.9,10000+ employees,10/22/17, 1907, Oil & Gas Exploration & Production, 3.3,"1,512","Houston, TX",11,23,4470,66,78, $10+ billion (USD) per year,huge organization leading to slow decision making Work life balance differs by division,Takes care of employee s work life balance great place with a friendly working environment,11/1/16,RDSA,www.shell.us,
207,4.0,92,Wegmans Food Markets, Company - Private,4.0,10000+ employees,10/30/16, 1916, Grocery Stores & Supermarkets, 2.7,565,"Rochester, NY",14,18,2202,68,82, $5 to $10 billion (USD) per year,I only left to secure a full time position in my current field Not a lot of upward mobility for part time employees,The allow for very flexible scheduling flexible hours and mostly nice people,11/2/15,,jobs.wegmans.com,
377,3.6,78,SolarCity, 2006,3.1,10000+ employees,10/31/15,, Subsidiary or Business Segment, 2.5,577,"San Mateo, CA",20,16,2341,64,51, Energy,No work life balance poor training Sometimes you work late or long hours to accommodate customer schedules,Good pay Great People Amazing Mission this is a really great company to work for if you love Elon this is the place for you Great place great people and atmosphere,11/2/14,,www.solarcity.com,2016
499,3.9,67,Disney Parks & Resorts, Subsidiary or Business Segment,3.7,10000+ employees,, 1901," Museums, Zoos & Amusement Parks", 2.4,"1,000","Orlando, FL",7,15,2874,78,70, $2 to $5 billion (USD) per year,Long hours and sporadic scheduling I hate my boss since he places some cast members over others,The atmosphere of magic and opportunities to advance your career Disney is a great place to learn about working in a large company that for the most part cares about its cast members,,,home.disney.go.com/travel,2015
719,4.6,96,Salesforce, Company - Public (CRM) ,4.3,10000+ employees,, 1999, Computer Hardware & Software, 3.2,"5,489","San Francisco, CA",9,5,5124,86,86, $10+ billion (USD) per year,Difficult to maintain work life balance There is no cons for working here,Salesforce is really a healthy organization The work life balance is amazing,,CRM,www.salesforce.com,2014
2918,4.3,77,Starbucks, Company - Public (SBUX) ,3.8,10000+ employees,, 1971, Fast-Food & Quick-Service Restaurants, 2.3,"5,097","Seattle, WA",8,16,23777,76,75, $10+ billion (USD) per year,Baristas not always inclined to come to work fast paced environment is not for everybody,great company with great benefits Good pay free coffee great benefits,,SBUX,www.starbucks.com,2013
547,3.8,86,FedEx, Company - Public (FDX) ,3.7,10000+ employees,, 1973, Express Delivery Services, 2.5,887,"Memphis, TN",12,18,4437,70,73, $10+ billion (USD) per year,Sometimes you have to work long hours moving heavy boxes Living in Memphis is kind of scary,They emphasize the work life balance Great benefits and work environment,,FDX,www.fedex.com,2012
1377,4.3,92,Capital One, Company - Public (COF) ,3.8,10000+ employees,, 1994, Banks & Credit Unions, 3.1,"3,928","Mc Lean, VA",15,20,6893,65,73, $10+ billion (USD) per year,Performance management associates in the same job level are ranked against each other by management Work life balance is easy to lose,Work in harmony good work life balance Great benefits amp paid time off,,COF,www.capitalonecareers.com,2011
787,3.9,90,Marriott International, Company - Public (MAR) ,3.8,10000+ employees,, 1927," Hotels, Motels, & Resorts", 2.6,"1,466","Bethesda, MD",11,16,6889,73,75, $10+ billion (USD) per year,Long hours pay is alright to good Sometimes a hard Work Life balance,Good company great benefits compensation Good benefits vacation time bonus,,MAR,www.marriott.com,2010
345,4.2,93,Paychex, Company - Public (PAYX) ,4.0,10000+ employees,, 1971, Enterprise Software & Network Solutions, 3.0,610,"Rochester, NY",27,20,1337,53,79, $2 to $5 billion (USD) per year,work life balance but that doesn t mean the work is stress free Customer service at it s finest,Paychex offers great benefits including a very generous tuition assistance program that you can start using on the second month of employment Work life balance is encouraged,,PAYX,www.paychex.com,2009
729,3.9,91,Morgan Stanley, Company - Public (MS) ,3.7,10000+ employees,10/21/18, 1935, Investment Banking & Asset Management, 3.1,"3,446","New York, NY",12,25,6579,63,73, $10+ billion (USD) per year,Sometimes long hours can be a burden Like all banks work life balance can be a challenge,Good work life balance and Salary Great work environment with decent pay,10/23/17,MS,www.morganstanley.com,
251,4.8,91,World Wide Technology, Company - Private,3.8,5001 to 10000 employees,10/21/18, 1990, Computer Hardware & Software, 2.8,180,"Maryland Heights, MO",24,13,896,63,72, $10+ billion (USD) per year,It is seeming to get a little bit better as of late but it is visible on the floor that not everyone is a fit for WWT Wait that there job i understand the the core values but that also is a funny subject,WWT has great people who work hard but also are fun to be around Consistent messaging around leadership and Core Values,10/23/17,,www.wwt.com,
1284,4.5,83,Kaiser Permanente, Nonprofit Organization,3.9,10000+ employees,10/21/18, 1945, Health Care Services & Hospitals, 2.9,"1,479","Oakland, CA",14,18,6214,68,77, $10+ billion (USD) per year,Work life balance is not always present in all department upper management is a nightmare part time and full time RNs are always upset,For IT employees Kaiser has great benefits Flexible schedules that provide great work life balance,10/23/17,,www.kaiserpermanente.org,
38,3.9,97,FLIK Hospitality Group, Unknown,4.3,1001 to 5000 employees,10/21/18,, Unknown, 2.5,35,"Rye Brook, NY",14,17,449,69,91, Casual Restaurants,there are no cons at the moment Rapid expansion can pull the attention of upper management,Great Company with a strong work life balance ethic Great company I have stuck around for 40 plus years because there is no better place to work,10/23/17,,www.flik-usa.com,
79,3.6,90,Raising Cane's, Company - Private,3.8,10000+ employees,10/21/18, 1996, Casual Restaurants, 2.0,238,"Baton Rouge, LA",13,14,837,73,74, $1 to $2 billion (USD) per year,Very high standards and fast paced work environment Long hours but because of it I get 3 days off each week,Fun work environment with lots of opportunity for growth as the company is still growing Fun job fast paced great management,10/23/17,,www.raisingcanes.com,
1146,3.9,96,EY, Company - Private,3.7,10000+ employees,10/21/18, 1989, Accounting, 2.8,"8,331","London, England (UK)",9,18,22618,73,78, $10+ billion (USD) per year,Have to work at work life balance Long working hours during business season,Work life balance is heavily promoted on my team Good work environment with great peopl,10/23/17,,www.ey.com,
377,4.2,92,Chevron, Company - Public (CVX) ,4.0,10000+ employees,10/21/18, 1879, Oil & Gas Exploration & Production, 2.8,618,"San Ramon, CA",7,17,2497,76,82, $10+ billion (USD) per year,Since the down of oil prices they cut down facilities and salaries for intern Work Life Balance was not so easy,Competitve pay with good work life balance Good and standard work environment,10/23/17,CVX,www.chevron.com,
31,4.0,96,BOK Financial, Company - Public (BOKF) ,4.1,1001 to 5000 employees,10/21/18, 1910, Banks & Credit Unions, 2.7,31,"Tulsa, OK",13,13,188,74,80, $100 to $500 million (USD) per year,I would like to see us continue to grow in other major cities in Texas to create additional opportunities for upper management positions Sales culture high turnover lack of respect for employees in branches,Flexibility in work schedules work life balance Great company to be able to spend the last 15 years with,10/23/17,BOKF,www.bokf.com,
322,4.3,84,Expedia Group, Company - Public (EXPE) ,3.9,10000+ employees,10/21/18, 1996, Internet, 2.9,"1,215","Bellevue, WA",27,17,3004,56,77, $5 to $10 billion (USD) per year,If you are able to then you can have a good work life balance but it is tricky for many people ,Work Life Balance Not Complaisant Innovative Great work environment and leadership,10/23/17,EXPE,www.lifeatexpedia.com,
117,4.1,93,Gensler, Company - Private,4.0,5001 to 10000 employees,10/21/18, 1965, Architectural & Engineering Services, 2.7,278,"San Francisco, CA",15,17,882,68,79, $1 to $2 billion (USD) per year,Work life balance will suffer a little if you want to advances Sometimes long hours and politics rule every single aspect,Gensler has an incredibly creative work environment Great people who make it a fun environment,10/23/17,,www.gensler.com,
95,2.8,93,Sport Clips, Company - Private,4.2,10000+ employees,10/21/18, 1993," Health, Beauty, & Fitness", 2.0,108,"Georgetown, TX",10,19,1133,71,82, $500 million to $1 billion (USD) per year,Stylist turn around can be obnoxious No cons everything is perfect from start to end,If you love being a stylist you never work a day at SportClips great pay and high tip clientele,10/23/17,,www.sportclipsjobs.com,
154,4.1,84,Texas Health Resources, Nonprofit Organization,3.9,10000+ employees,10/21/18, 1997, Health Care Services & Hospitals, 2.6,140,"Arlington, TX",11,20,673,69,78, $500 million to $1 billion (USD) per year,There are no cons I can think of The management and upper management is almost abusive,The company has great benefits such as tuition assistance Good benefits if you are benefits eligible,10/23/17,,www.texashealth.org,
1610,4.1,91,Accenture, Company - Public (ACN) ,3.8,10000+ employees,10/21/18, 1989, Consulting, 2.8,"12,428","Dublin, Co. Dublin (Ireland)",13,17,5654,70,78, $10+ billion (USD) per year,High work volumes which can at times impact work life balance Sometimes I have long working hours,Work life balance is well maintained Good work culture for employees,10/23/17,ACN,www.accenture.com,
