,year,rank,company,score
0,2019.0,#1,Bain & Company,4.6
1,2019.0,#2,Zoom Video Communications,4.5
2,2019.0,#3,In-N-Out Burger,4.5
3,2019.0,#4,Procore Technologies,4.5
4,2019.0,#5,Boston Consulting Group,4.5
5,2019.0,#6,LinkedIn,4.5
6,2019.0,#7,Facebook,4.5
7,2019.0,#8,Google,4.4
8,2019.0,#9,lululemon,4.4
9,2019.0,#10,Southwest Airlines,4.4
10,2019.0,#11,Salesforce,4.4
11,2019.0,#12,Intuitive Surgical,4.4
12,2019.0,#13,St. Jude Children's Research Hospital,4.4
13,2019.0,#14,Slalom,4.4
14,2019.0,#15,Power Home Remodeling,4.4
15,2019.0,#16,HubSpot,4.4
16,2019.0,#17,DocuSign,4.4
17,2019.0,#18,Ultimate Software,4.4
18,2019.0,#19,McKinsey & Company,4.4
19,2019.0,#20,Paylocity,4.4
20,2019.0,#21,Ryan LLC,4.4
21,2019.0,#22,Sammons Financial Group,4.4
22,2019.0,#23,Trader Joe's,4.4
23,2019.0,#24,Lawrence Livermore National Laboratory,4.4
24,2019.0,#25,Smile Brands,4.4
25,2019.0,#26,Fast Enterprises,4.4
26,2019.0,#27,SAP,4.4
27,2019.0,#28,Delta Air Lines,4.4
28,2019.0,#29,Navy Federal Credit Union,4.4
29,2019.0,#30,Adobe,4.4
30,2019.0,#31,H E B,4.4
31,2019.0,#32,Compass,4.4
32,2019.0,#33,Illumina,4.3
33,2019.0,#34,Microsoft,4.3
34,2019.0,#35,Trilogy Health Services,4.3
35,2019.0,#36,NVIDIA,4.3
36,2019.0,#37,E. & J. Gallo Winery,4.3
37,2019.0,#38,Intuit,4.3
38,2019.0,#39,NIH,4.3
39,2019.0,#40,TaskUs,4.3
40,2019.0,#41,Cengage,4.3
41,2019.0,#42,Blizzard Entertainment,4.3
42,2019.0,#43,Equity Residential,4.3
43,2019.0,#44,Kronos Incorporated,4.3
44,2019.0,#45,Nebraska Furniture Mart,4.3
45,2019.0,#46,Wegmans Food Markets,4.3
46,2019.0,#47,The Clorox Company,4.3
47,2019.0,#48,SpaceX,4.3
48,2019.0,#49,Johnson & Johnson,4.3
49,2019.0,#50,Crowe,4.3
50,2019.0,#51,VMware,4.3
51,2019.0,#52,Northside Hospital,4.3
52,2019.0,#53,Vi,4.3
53,2019.0,#54,ABC Supply Co.,4.3
54,2019.0,#55,AvalonBay Communities,4.3
55,2019.0,#56,Boston Scientific,4.3
56,2019.0,#57,Keller Williams,4.3
57,2019.0,#58,AppDynamics,4.3
58,2019.0,#59,T-Mobile,4.3
59,2019.0,#60,Rose International,4.3
60,2019.0,#61,Hilti North America,4.3
61,2019.0,#62,Paycom,4.3
62,2019.0,#63,John Deere,4.3
63,2019.0,#64,NewYork-Presbyterian Hospital,4.3
64,2019.0,#65,Oshkosh Corporation,4.3
65,2019.0,#66,Memorial Sloan Kettering,4.3
66,2019.0,#67,VIPKid,4.3
67,2019.0,#68,MD Anderson Cancer Center,4.3
68,2019.0,#69,Cisco Systems,4.3
69,2019.0,#70,Travelers,4.3
70,2019.0,#71,Apple,4.3
71,2019.0,#72,Omni Hotels,4.3
72,2019.0,#73,BAYADA Home Health Care,4.3
73,2019.0,#74,Aptive Environmental,4.3
74,2019.0,#75,Goldman Sachs,4.3
75,2019.0,#76,Kimpton Hotels & Restaurants,4.3
76,2019.0,#77,Texas Instruments,4.3
77,2019.0,#79,Costco Wholesale,4.2
78,2019.0,#80,Deloitte,4.2
79,2019.0,#81,Discount Tire,4.2
80,2019.0,#82,NetApp,4.2
81,2019.0,#83,Phoenix Children's Hospital,4.2
82,2019.0,#84,Massachusetts General Hospital,4.2
83,2019.0,#85,FedEx Freight,4.2
84,2019.0,#86,Edward Jones,4.2
85,2019.0,#87,HP Inc.,4.2
86,2019.0,#88,Accenture,4.2
87,2019.0,#89,Texas Health Resources,4.2
88,2019.0,#90,Sport Clips,4.2
89,2019.0,#91,Gensler,4.2
90,2019.0,#92,Expedia Group,4.2
91,2019.0,#93,BOK Financial,4.2
92,2019.0,#94,Chevron,4.2
93,2019.0,#95,EY,4.2
94,2019.0,#96,Raising Cane's,4.2
95,2019.0,#97,FLIK Hospitality Group,4.2
96,2019.0,#98,Kaiser Permanente,4.2
97,2019.0,#99,World Wide Technology,4.2
98,2019.0,#100,Morgan Stanley,4.2
99,2018.0,#1,Facebook,4.6
100,2018.0,#2,Bain & Company,4.6
101,2018.0,#3,Boston Consulting Group,4.6
102,2018.0,#4,In-N-Out Burger,4.6
103,2018.0,#5,Google,4.6
104,2018.0,#6,lululemon,4.6
105,2018.0,#7,HubSpot,4.6
106,2018.0,#8,World Wide Technology,4.5
107,2018.0,#9,St. Jude Children's Research Hospital,4.5
108,2018.0,#10,Ultimate Software,4.5
109,2018.0,#11,SAP,4.5
110,2018.0,#12,McKinsey & Company,4.5
111,2018.0,#13,Keller Williams,4.5
112,2018.0,#14,E. & J. Gallo Winery,4.5
113,2018.0,#15,Salesforce,4.5
114,2018.0,#16,Power Home Remodeling,4.5
115,2018.0,#17,Delta Air Lines,4.5
116,2018.0,#18,Academy Mortgage,4.5
117,2018.0,#19,The Church of Jesus Christ of Latter-day Saints,4.5
118,2018.0,#20,H E B,4.5
119,2018.0,#21,LinkedIn,4.5
120,2018.0,#22,DocuSign,4.4
121,2018.0,#23,Southwest Airlines,4.4
122,2018.0,#24,NVIDIA,4.4
123,2018.0,#25,Fast Enterprises,4.4
124,2018.0,#26,AvalonBay Communities,4.4
125,2018.0,#27,Nestlé Purina U.S.,4.4
126,2018.0,#28,Blizzard Entertainment,4.4
127,2018.0,#29,Paylocity,4.4
128,2018.0,#30,Intuit,4.4
129,2018.0,#31,Adobe,4.4
130,2018.0,#32,NewYork-Presbyterian Hospital,4.4
131,2018.0,#33,VMware,4.4
132,2018.0,#34,SAP Concur,4.4
133,2018.0,#35,Boston Scientific,4.4
134,2018.0,#36,Forrester,4.4
135,2018.0,#37,Kimpton Hotels & Restaurants,4.4
136,2018.0,#38,Johnson & Johnson,4.4
137,2018.0,#39,Microsoft,4.4
138,2018.0,#40,Ellie Mae,4.4
139,2018.0,#41,Hilton,4.4
140,2018.0,#42,Yardi Systems,4.4
141,2018.0,#43,Smile Brands,4.4
142,2018.0,#44,Progressive Leasing,4.4
143,2018.0,#45,Memorial Sloan Kettering,4.4
144,2018.0,#46,Texas Health Resources,4.4
145,2018.0,#47,Protiviti,4.3
146,2018.0,#48,Oshkosh Corporation,4.3
147,2018.0,#49,Wegmans Food Markets,4.3
148,2018.0,#50,SpaceX,4.3
149,2018.0,#51,Discount Tire,4.3
150,2018.0,#52,Eli Lilly and Company,4.3
151,2018.0,#53,NIKE,4.3
152,2018.0,#55,United Airlines,4.3
153,2018.0,#56,Electronic Arts,4.3
154,2018.0,#57,Zillow,4.3
155,2018.0,#58,Capital Group,4.3
156,2018.0,#59,Roche,4.3
157,2018.0,#60,3M,4.3
158,2018.0,#61,REI,4.3
159,2018.0,#62,Procter & Gamble,4.3
160,2018.0,#63,Kronos Incorporated,4.3
161,2018.0,#64,Kwik Trip,4.3
162,2018.0,#65,Yahoo,4.3
163,2018.0,#66,Arm,4.3
164,2018.0,#67,Northwestern Mutual,4.3
165,2018.0,#68,Guidewire,4.3
166,2018.0,#69,Capital One,4.3
167,2018.0,#70,Trader Joe's,4.3
168,2018.0,#71,Hyatt,4.3
169,2018.0,#72,Chick-fil-A,4.3
170,2018.0,#73,Extra Space Storage,4.3
171,2018.0,#74,Slalom,4.3
172,2018.0,#75,J. Crew,4.3
173,2018.0,#76,Stryker,4.3
174,2018.0,#77,Deloitte,4.3
175,2018.0,#78,Toyota North America,4.3
176,2018.0,#79,T-Mobile,4.3
177,2018.0,#80,Travelers,4.3
178,2018.0,#81,CDW,4.3
179,2018.0,#83,Accenture,4.3
180,2018.0,#84,Apple,4.3
181,2018.0,#85,Darden,4.3
182,2018.0,#86,QuikTrip,4.3
183,2018.0,#87,Taylor Morrison,4.3
184,2018.0,#88,Insperity,4.3
185,2018.0,#89,Cisco Systems,4.3
186,2018.0,#90,Massachusetts General Hospital,4.3
187,2018.0,#91,Kaiser Permanente,4.3
188,2018.0,#92,Ceridian,4.3
189,2018.0,#93,adidas,4.3
190,2018.0,#94,Morrison Healthcare,4.3
191,2018.0,#95,Shell,4.2
192,2018.0,#96,Starbucks,4.2
193,2018.0,#97,Liberty National,4.2
194,2018.0,#98,Walt Disney Company,4.2
195,2018.0,#99,KPMG,4.2
196,2018.0,#100,BAYADA Home Health Care,4.2
197,2017.0,#1,Bain & Company,4.6
198,2017.0,#2,Facebook,4.5
199,2017.0,#3,Boston Consulting Group,4.4
200,2017.0,#4,Google,4.4
201,2017.0,#5,World Wide Technology,4.4
202,2017.0,#6,Fast Enterprises,4.4
203,2017.0,#7,In-N-Out Burger,4.4
204,2017.0,#8,LinkedIn,4.4
205,2017.0,#9,Adobe,4.3
206,2017.0,#10,Power Home Remodeling,4.3
207,2017.0,#11,McKinsey & Company,4.3
208,2017.0,#12,The Clorox Company,4.3
209,2017.0,#13,Nestlé Purina U.S.,4.3
210,2017.0,#14,Paylocity,4.3
211,2017.0,#15,SAP,4.3
212,2017.0,#16,MathWorks,4.3
213,2017.0,#17,Salesforce,4.3
214,2017.0,#18,Forrester,4.3
215,2017.0,#19,The Church of Jesus Christ of Latter-day Saints,4.3
216,2017.0,#20,Intuit,4.3
217,2017.0,#21,Delta Air Lines,4.3
218,2017.0,#22,Memorial Sloan Kettering,4.3
219,2017.0,#23,DocuSign,4.3
220,2017.0,#24,SAP Concur,4.3
221,2017.0,#25,Akamai,4.3
222,2017.0,#26,Johnson & Johnson,4.3
223,2017.0,#27,H E B,4.3
224,2017.0,#28,Southwest Airlines,4.3
225,2017.0,#29,Zillow,4.2
226,2017.0,#30,NVIDIA,4.2
227,2017.0,#31,Keller Williams,4.2
228,2017.0,#32,Genentech,4.2
229,2017.0,#33,Trader Joe's,4.2
230,2017.0,#34,Costco Wholesale,4.2
231,2017.0,#35,Airbnb,4.2
232,2017.0,#36,Apple,4.2
233,2017.0,#37,Microsoft,4.2
234,2017.0,#38,lululemon,4.2
235,2017.0,#39,FedEx Freight,4.2
236,2017.0,#40,SpaceX,4.2
237,2017.0,#41,BASF,4.2
238,2017.0,#42,Texas Instruments,4.2
239,2017.0,#43,Raising Cane's,4.2
240,2017.0,#44,Mayo Clinic,4.2
241,2017.0,#45,IKEA,4.2
242,2017.0,#46,Aegis Living,4.2
243,2017.0,#47,E. & J. Gallo Winery,4.2
244,2017.0,#48,QuikTrip,4.2
245,2017.0,#49,Gensler,4.2
246,2017.0,#50,Wegmans Food Markets,4.2
247,2016.0,#1,Airbnb,4.6
248,2016.0,#2,Bain & Company,4.6
249,2016.0,#3,Guidewire,4.5
250,2016.0,#4,HubSpot,4.4
251,2016.0,#5,Facebook,4.4
252,2016.0,#6,LinkedIn,4.4
253,2016.0,#7,Boston Consulting Group,4.3
254,2016.0,#8,Google,4.3
255,2016.0,#9,Nestlé Purina U.S.,4.3
256,2016.0,#10,Zillow,4.3
257,2016.0,#11,Eastman,4.3
258,2016.0,#12,World Wide Technology,4.3
259,2016.0,#13,In-N-Out Burger,4.2
260,2016.0,#14,MINDBODY,4.2
261,2016.0,#15,Power Home Remodeling,4.1
262,2016.0,#16,Expedia Group,4.1
263,2016.0,#17,H E B,4.1
264,2016.0,#18,Riot Games,4.1
265,2016.0,#19,Adobe,4.1
266,2016.0,#20,Memorial Sloan Kettering,4.1
267,2016.0,#21,Delta Air Lines,4.0
268,2016.0,#22,The Church of Jesus Christ of Latter-day Saints,4.0
269,2016.0,#23,Protiviti,4.0
270,2016.0,#24,QuikTrip,4.0
271,2016.0,#25,Apple,4.0
272,2016.0,#26,Twitter,4.0
273,2016.0,#27,Vivint Solar,4.0
274,2016.0,#28,Paycom,4.0
275,2016.0,#29,Wegmans Food Markets,4.0
276,2016.0,#30,Slalom,4.0
277,2016.0,#31,Akamai,4.0
278,2016.0,#32,Salesforce,4.0
