ticker,begyear,endyear
NATI,2008,2009
NFLX,2008,2009
ADBE,2008,2009
GOOG,2008,2009
SAP,2008,2009
NTAP,2008,2009
INTU,2008,2009
FDS,2008,2009
FDX,2008,2009
ACN,2008,2009
CRM,2008,2009
BBY,2008,2009
WFC,2008,2009
TXN,2008,2009
LMT,2008,2009
MET,2008,2009
QCOM,2008,2009
AXP,2008,2009
PG,2008,2009
BAH,2008,2009
SLB,2008,2009
CTXS,2008,2009
JWN,2008,2009
GS,2008,2009
CVX,2008,2009
NKE,2008,2009
MAR,2008,2009
JNPR,2008,2009
GIS,2008,2009
AAPL,2008,2009
CAT,2008,2009
PAYX,2008,2009
GSK,2009,2010
MAR,2009,2010
LUV,2009,2010
GIS,2009,2010
PG,2009,2010
JNPR,2009,2010
NATI,2009,2010
SHW,2009,2010
NTAP,2009,2010
GS,2009,2010
FDS,2009,2010
MDT,2009,2010
CVX,2009,2010
GOOG,2009,2010
AAPL,2009,2010
CAT,2009,2010
PAYX,2009,2010
FDX,2009,2010
BAH,2009,2010
INTC,2009,2010
CTAS,2009,2010
TRV,2009,2010
BBY,2009,2010
PRU,2009,2010
ADBE,2009,2010
SLB,2009,2010
QCOM,2009,2010
INTU,2009,2010
CMI,2010,2011
NKE,2010,2011
AXP,2010,2011
INTC,2010,2011
F,2010,2011
CRM,2010,2011
ADBE,2010,2011
MS,2010,2011
QCOM,2010,2011
DB,2010,2011
FLR,2010,2011
TRV,2010,2011
COF,2010,2011
DE,2010,2011
FB,2010,2011
GIS,2010,2011
OSTK,2010,2011
SFLY,2010,2011
NTAP,2010,2011
GS,2010,2011
LUV,2010,2011
AAPL,2010,2011
ADI,2010,2011
PG,2010,2011
BBT,2010,2011
SNPS,2010,2011
CVX,2010,2011
NATI,2010,2011
GOOG,2010,2011
BMY,2010,2011
CTXS,2011,2012
W,2011,2012
NATI,2011,2012
LUV,2011,2012
CRM,2011,2012
DOW,2011,2012
GIS,2011,2012
AAPL,2011,2012
GOOG,2011,2012
QCOM,2011,2012
CVX,2011,2012
COST,2011,2012
TPR,2011,2012
FLR,2011,2012
JNJ,2011,2012
NTAP,2011,2012
MORN,2011,2012
INTC,2011,2012
SBUX,2011,2012
NKE,2011,2012
GS,2011,2012
INTU,2011,2012
ACN,2011,2012
JWN,2011,2012
LLY,2011,2012
NVDA,2011,2012
PG,2011,2012
FB,2011,2012
GRPN,2011,2012
FDX,2011,2012
CRM,2012,2013
GOOG,2012,2013
NATI,2012,2013
LUV,2012,2013
CVX,2012,2013
RDSA,2012,2013
IT,2012,2013
AKAM,2012,2013
SBUX,2012,2013
WDAY,2012,2013
CMI,2012,2013
FB,2012,2013
CTXS,2012,2013
MA,2012,2013
COST,2012,2013
DOW,2012,2013
SAP,2012,2013
BIIB,2012,2013
QCOM,2012,2013
FLR,2012,2013
GIS,2012,2013
AAPL,2012,2013
RHT,2012,2013
H,2012,2013
JBLU,2012,2013
INTC,2012,2013
A,2012,2013
TXN,2013,2014
TWTR,2013,2014
EMN,2013,2014
FB,2013,2014
GWRE,2013,2014
GOOG,2013,2014
DE,2013,2014
QCOM,2013,2014
CVX,2013,2014
COST,2013,2014
INTU,2013,2014
IT,2013,2014
LUV,2013,2014
TXRH,2013,2014
RHT,2013,2014
H,2013,2014
NATI,2013,2014
NKE,2013,2014
INTC,2013,2014
AAPL,2013,2014
FDX,2013,2014
CTXS,2013,2014
SBUX,2013,2014
NTAP,2013,2014
DIS,2013,2014
CMCSA,2013,2014
EBAY,2013,2014
CAM,2013,2014
SYK,2013,2014
PG,2013,2014
CRM,2013,2014
FFIV,2014,2015
BMY,2014,2015
NVDA,2014,2015
F,2014,2015
Z,2014,2015
CMCSA,2014,2015
EMN,2014,2015
COST,2014,2015
ROK,2014,2015
RHHBY,2014,2015
NKE,2014,2015
IT,2014,2015
AAPL,2014,2015
SYK,2014,2015
ADBE,2014,2015
LUV,2014,2015
QCOM,2014,2015
FB,2014,2015
CVX,2014,2015
PG,2014,2015
GOOG,2014,2015
NKE,2015,2016
GWRE,2015,2016
IT,2015,2016
FB,2015,2016
ADBE,2015,2016
DAL,2015,2016
AAPL,2015,2016
TWTR,2015,2016
VSLR,2015,2016
PAYC,2015,2016
AKAM,2015,2016
CRM,2015,2016
FFIV,2015,2016
WDAY,2015,2016
RHT,2015,2016
CVX,2015,2016
COST,2015,2016
LUV,2015,2016
SYK,2015,2016
EXPE,2015,2016
EMN,2015,2016
Z,2015,2016
GOOG,2015,2016
HUBS,2015,2016
PCTY,2016,2017
TXN,2016,2017
LULU,2016,2017
MSFT,2016,2017
AAPL,2016,2017
COST,2016,2017
Z,2016,2017
LUV,2016,2017
AKAM,2016,2017
DOCU,2016,2017
DAL,2016,2017
INTU,2016,2017
FORR,2016,2017
CRM,2016,2017
SAP,2016,2017
JNJ,2016,2017
NVDA,2016,2017
ADBE,2016,2017
GOOG,2016,2017
CLX,2016,2017
FB,2016,2017
TMHC,2017,2018
CDAY,2017,2018
Z,2017,2018
RHHBY,2017,2018
MMM,2017,2018
PG,2017,2018
GWRE,2017,2018
COF,2017,2018
NSP,2017,2018
H,2017,2018
EA,2017,2018
TMUS,2017,2018
TRV,2017,2018
CDW,2017,2018
ACN,2017,2018
AAPL,2017,2018
DRI,2017,2018
EXR,2017,2018
SYK,2017,2018
UAL,2017,2018
LLY,2017,2018
HUBS,2017,2018
SAP,2017,2018
CRM,2017,2018
DAL,2017,2018
DOCU,2017,2018
LUV,2017,2018
NVDA,2017,2018
AVB,2017,2018
PCTY,2017,2018
INTU,2017,2018
ADBE,2017,2018
BSX,2017,2018
FORR,2017,2018
JNJ,2017,2018
MSFT,2017,2018
HLT,2017,2018
OSK,2017,2018
NKE,2017,2018
ADDYY,2017,2018
FB,2017,2018
GOOG,2017,2018
RDSA,2017,2018
LULU,2017,2018
DIS,2017,2018
SBUX,2017,2018
