ticker,begyear,endyear
PAYC,2018,2019
DE,2018,2019
OSK,2018,2019
TRV,2018,2019
AAPL,2018,2019
GS,2018,2019
TXN,2018,2019
COST,2018,2019
HPQ,2018,2019
ACN,2018,2019
EXPE,2018,2019
BOKF,2018,2019
CVX,2018,2019
MS,2018,2019
TMUS,2018,2019
NTAP,2018,2019
ZM,2018,2019
JNJ,2018,2019
FB,2018,2019
GOOG,2018,2019
LULU,2018,2019
LUV,2018,2019
CRM,2018,2019
ISRG,2018,2019
HUBS,2018,2019
DOCU,2018,2019
AVB,2018,2019
PCTY,2018,2019
DAL,2018,2019
ADBE,2018,2019
ILMN,2018,2019
MSFT,2018,2019
NVDA,2018,2019
INTU,2018,2019
EQR,2018,2019
CLX,2018,2019
SAP,2018,2019
BSX,2018,2019
