beg,begyear,end,endyear,ticker,one_ytd_return
Dec-12-2018,2018,Oct-11-2019,2019,PAYC,80.78%
Dec-12-2018,2018,Oct-11-2019,2019,BSX,3.68%
Dec-12-2018,2018,Oct-11-2019,2019,SAP,28.68%
Dec-12-2018,2018,Oct-11-2019,2019,CLX,-7.81%
Dec-12-2018,2018,Oct-11-2019,2019,EQR,37.08%
Dec-12-2018,2018,Oct-11-2019,2019,INTU,37.34%
Dec-12-2018,2018,Oct-11-2019,2019,NVDA,31.23%
Dec-12-2018,2018,Oct-11-2019,2019,MSFT,36.56%
Dec-12-2018,2018,Oct-11-2019,2019,ILMN,-12.15%
Dec-12-2018,2018,Oct-11-2019,2019,ADBE,16.27%
Dec-12-2018,2018,Oct-11-2019,2019,DAL,-4.84%
Dec-12-2018,2018,Oct-11-2019,2019,PCTY,66.84%
Dec-12-2018,2018,Oct-11-2019,2019,AVB,27.50%
Dec-12-2018,2018,Oct-11-2019,2019,DOCU,72.06%
Dec-12-2018,2018,Oct-11-2019,2019,HUBS,24.26%
Dec-12-2018,2018,Oct-11-2019,2019,ISRG,0.56%
Dec-12-2018,2018,Oct-11-2019,2019,CRM,8.03%
Dec-12-2018,2018,Oct-11-2019,2019,LUV,8.53%
Dec-12-2018,2018,Oct-11-2019,2019,LULU,81.99%
Dec-12-2018,2018,Oct-11-2019,2019,GOOG,17.43%
Dec-12-2018,2018,Oct-11-2019,2019,FB,33.96%
Dec-12-2018,2018,Oct-11-2019,2019,JNJ,-10.54%
Apr-18-2019,2019,Oct-11-2019,2019,ZM,33.82%
Dec-12-2018,2018,Oct-11-2019,2019,NTAP,-21.30%
Dec-12-2018,2018,Oct-11-2019,2019,TMUS,24.96%
Dec-12-2018,2018,Oct-11-2019,2019,MS,5.98%
Dec-12-2018,2018,Oct-11-2019,2019,CVX,4.30%
Dec-12-2018,2018,Oct-11-2019,2019,BOKF,-4.40%
Dec-12-2018,2018,Oct-11-2019,2019,EXPE,18.44%
Dec-12-2018,2018,Oct-11-2019,2019,ACN,21.54%
Dec-12-2018,2018,Oct-11-2019,2019,HPQ,-30.60%
Dec-12-2018,2018,Oct-11-2019,2019,COST,39.25%
Dec-12-2018,2018,Oct-11-2019,2019,TXN,48.10%
Dec-12-2018,2018,Oct-11-2019,2019,GS,21.51%
Dec-12-2018,2018,Oct-11-2019,2019,AAPL,51.76%
Dec-12-2018,2018,Oct-11-2019,2019,TRV,23.15%
Dec-12-2018,2018,Oct-11-2019,2019,OSK,19.99%
Dec-12-2018,2018,Oct-11-2019,2019,DE,21.62%
