ticker,begyear,endyear
NATI,2008,2011
NFLX,2008,2011
ADBE,2008,2011
GOOG,2008,2011
SAP,2008,2011
NTAP,2008,2011
INTU,2008,2011
FDS,2008,2011
FDX,2008,2011
ACN,2008,2011
CRM,2008,2011
BBY,2008,2011
WFC,2008,2011
TXN,2008,2011
LMT,2008,2011
MET,2008,2011
QCOM,2008,2011
AXP,2008,2011
PG,2008,2011
BAH,2008,2011
SLB,2008,2011
CTXS,2008,2011
JWN,2008,2011
GS,2008,2011
CVX,2008,2011
NKE,2008,2011
MAR,2008,2011
JNPR,2008,2011
GIS,2008,2011
AAPL,2008,2011
CAT,2008,2011
PAYX,2008,2011
GSK,2009,2012
MAR,2009,2012
LUV,2009,2012
GIS,2009,2012
PG,2009,2012
JNPR,2009,2012
NATI,2009,2012
SHW,2009,2012
NTAP,2009,2012
GS,2009,2012
FDS,2009,2012
MDT,2009,2012
CVX,2009,2012
GOOG,2009,2012
AAPL,2009,2012
CAT,2009,2012
PAYX,2009,2012
FDX,2009,2012
BAH,2009,2012
INTC,2009,2012
CTAS,2009,2012
TRV,2009,2012
BBY,2009,2012
PRU,2009,2012
ADBE,2009,2012
SLB,2009,2012
QCOM,2009,2012
INTU,2009,2012
CMI,2010,2013
NKE,2010,2013
AXP,2010,2013
INTC,2010,2013
F,2010,2013
CRM,2010,2013
ADBE,2010,2013
MS,2010,2013
QCOM,2010,2013
DB,2010,2013
FLR,2010,2013
TRV,2010,2013
COF,2010,2013
DE,2010,2013
FB,2010,2013
GIS,2010,2013
OSTK,2010,2013
SFLY,2010,2013
NTAP,2010,2013
GS,2010,2013
LUV,2010,2013
AAPL,2010,2013
ADI,2010,2013
PG,2010,2013
BBT,2010,2013
SNPS,2010,2013
CVX,2010,2013
NATI,2010,2013
GOOG,2010,2013
BMY,2010,2013
CTXS,2011,2014
W,2011,2014
NATI,2011,2014
LUV,2011,2014
CRM,2011,2014
DOW,2011,2014
GIS,2011,2014
AAPL,2011,2014
GOOG,2011,2014
QCOM,2011,2014
CVX,2011,2014
COST,2011,2014
TPR,2011,2014
FLR,2011,2014
JNJ,2011,2014
NTAP,2011,2014
MORN,2011,2014
INTC,2011,2014
SBUX,2011,2014
NKE,2011,2014
GS,2011,2014
INTU,2011,2014
ACN,2011,2014
JWN,2011,2014
LLY,2011,2014
NVDA,2011,2014
PG,2011,2014
FB,2011,2014
GRPN,2011,2014
FDX,2011,2014
CRM,2012,2015
GOOG,2012,2015
NATI,2012,2015
LUV,2012,2015
CVX,2012,2015
RDSA,2012,2015
IT,2012,2015
AKAM,2012,2015
SBUX,2012,2015
WDAY,2012,2015
CMI,2012,2015
FB,2012,2015
CTXS,2012,2015
MA,2012,2015
COST,2012,2015
DOW,2012,2015
SAP,2012,2015
BIIB,2012,2015
QCOM,2012,2015
FLR,2012,2015
GIS,2012,2015
AAPL,2012,2015
RHT,2012,2015
H,2012,2015
JBLU,2012,2015
INTC,2012,2015
A,2012,2015
TXN,2013,2016
TWTR,2013,2016
EMN,2013,2016
FB,2013,2016
GWRE,2013,2016
GOOG,2013,2016
DE,2013,2016
QCOM,2013,2016
CVX,2013,2016
COST,2013,2016
INTU,2013,2016
IT,2013,2016
LUV,2013,2016
TXRH,2013,2016
RHT,2013,2016
H,2013,2016
NATI,2013,2016
NKE,2013,2016
INTC,2013,2016
AAPL,2013,2016
FDX,2013,2016
CTXS,2013,2016
SBUX,2013,2016
NTAP,2013,2016
DIS,2013,2016
CMCSA,2013,2016
EBAY,2013,2016
CAM,2013,2016
SYK,2013,2016
PG,2013,2016
CRM,2013,2016
FFIV,2014,2017
BMY,2014,2017
NVDA,2014,2017
F,2014,2017
Z,2014,2017
CMCSA,2014,2017
EMN,2014,2017
COST,2014,2017
ROK,2014,2017
RHHBY,2014,2017
NKE,2014,2017
IT,2014,2017
AAPL,2014,2017
SYK,2014,2017
ADBE,2014,2017
LUV,2014,2017
QCOM,2014,2017
FB,2014,2017
CVX,2014,2017
PG,2014,2017
GOOG,2014,2017
NKE,2015,2018
GWRE,2015,2018
IT,2015,2018
FB,2015,2018
ADBE,2015,2018
DAL,2015,2018
AAPL,2015,2018
TWTR,2015,2018
VSLR,2015,2018
PAYC,2015,2018
AKAM,2015,2018
CRM,2015,2018
FFIV,2015,2018
WDAY,2015,2018
RHT,2015,2018
CVX,2015,2018
COST,2015,2018
LUV,2015,2018
SYK,2015,2018
EXPE,2015,2018
EMN,2015,2018
Z,2015,2018
GOOG,2015,2018
HUBS,2015,2018
