beg,begyear,end,endyear,one_return,ticker
Dec-12-2008,2008,Dec-11-2009,2009,30.57%,NATI
Dec-12-2008,2008,Dec-11-2009,2009,16.58%,GIS
Dec-12-2008,2008,Dec-11-2009,2009,53.56%,JNPR
Dec-12-2008,2008,Dec-11-2009,2009,65.94%,MAR
Dec-12-2008,2008,Dec-11-2009,2009,32.02%,NKE
Dec-12-2008,2008,Dec-11-2009,2009,2.27%,CVX
Dec-12-2008,2008,Dec-11-2009,2009,148.71%,GS
Dec-12-2008,2008,Dec-11-2009,2009,194.33%,JWN
Dec-12-2008,2008,Dec-11-2009,2009,66.45%,CTXS
Dec-12-2008,2008,Dec-11-2009,2009,51.87%,SLB
Dec-12-2008,2008,Dec-11-2009,2009,9.19%,PG
Dec-12-2008,2008,Dec-11-2009,2009,107.73%,AXP
Dec-12-2008,2008,Dec-11-2009,2009,34.62%,QCOM
Dec-12-2008,2008,Dec-11-2009,2009,23.24%,MET
Dec-12-2008,2008,Dec-11-2009,2009,1.80%,LMT
Dec-12-2017,2017,Dec-12-2018,2018,14.19%,SBUX
Dec-12-2017,2017,Dec-12-2018,2018,6.13%,DIS
Dec-12-2017,2017,Dec-12-2018,2018,65.05%,LULU
Dec-12-2017,2017,Dec-12-2018,2018,2.23%,GOOG
Dec-12-2017,2017,Dec-12-2018,2018,-18.34%,FB
Dec-12-2017,2017,Dec-12-2018,2018,12.59%,ADDYY
Dec-12-2017,2017,Dec-12-2018,2018,20.88%,NKE
Dec-12-2017,2017,Dec-12-2018,2018,-25.95%,OSK
Dec-12-2017,2017,Dec-12-2018,2018,-4.74%,HLT
Dec-12-2017,2017,Dec-12-2018,2018,29.68%,MSFT
Dec-12-2017,2017,Dec-12-2018,2018,5.97%,JNJ
Dec-12-2017,2017,Dec-12-2018,2018,1.23%,FORR
Dec-12-2017,2017,Dec-12-2018,2018,44.87%,BSX
Dec-12-2017,2017,Dec-12-2018,2018,42.31%,ADBE
Dec-12-2017,2017,Dec-12-2018,2018,35.39%,INTU
Dec-12-2017,2017,Dec-12-2018,2018,40.14%,PCTY
Dec-12-2017,2017,Dec-12-2018,2018,3.56%,AVB
Dec-12-2017,2017,Dec-12-2018,2018,-21.76%,NVDA
Dec-12-2017,2017,Dec-12-2018,2018,-18.87%,LUV
Apr-27-2018,2018,Dec-12-2018,2018,10.92%,DOCU
Dec-12-2017,2017,Dec-12-2018,2018,7.58%,DAL
Dec-12-2017,2017,Dec-12-2018,2018,35.13%,CRM
Dec-12-2017,2017,Dec-12-2018,2018,-6.86%,SAP
Dec-12-2017,2017,Dec-12-2018,2018,64.57%,HUBS
Dec-12-2017,2017,Dec-12-2018,2018,35.20%,LLY
Dec-12-2017,2017,Dec-12-2018,2018,41.46%,UAL
Dec-12-2017,2017,Dec-12-2018,2018,13.62%,SYK
Dec-12-2017,2017,Dec-12-2018,2018,14.87%,EXR
