beg,begyear,end,endyear,three_return,ticker
Dec-12-2008,2008,Dec-12-2011,2011,21.28%,NATI
Dec-12-2008,2008,Dec-12-2011,2011,9.17%,PAYX
Dec-12-2008,2008,Dec-12-2011,2011,34.22%,CAT
Dec-12-2008,2008,Dec-12-2011,2011,58.57%,AAPL
Dec-12-2008,2008,Dec-12-2011,2011,12.88%,GIS
Dec-12-2008,2008,Dec-12-2011,2011,4.33%,JNPR
Dec-12-2008,2008,Dec-12-2011,2011,25.29%,MAR
Dec-12-2008,2008,Dec-12-2011,2011,27.30%,NKE
Dec-12-2008,2008,Dec-12-2011,2011,13.22%,CVX
Dec-12-2008,2008,Dec-12-2011,2011,14.38%,GS
Dec-12-2008,2008,Dec-12-2011,2011,60.16%,JWN
Dec-12-2008,2008,Dec-12-2011,2011,44.02%,CTXS
Dec-12-2008,2008,Dec-12-2011,2011,22.19%,SLB
Nov-18-2010,2010,Dec-12-2011,2011,-12.95%,BAH
Dec-12-2008,2008,Dec-12-2011,2011,6.23%,PG
Dec-12-2008,2008,Dec-12-2011,2011,36.10%,AXP
Dec-14-2015,2015,Dec-12-2018,2018,35.16%,HUBS
Dec-14-2015,2015,Dec-12-2018,2018,12.48%,GOOG
Dec-14-2015,2015,Dec-12-2018,2018,14.17%,Z
Dec-14-2015,2015,Dec-12-2018,2018,5.19%,EMN
Dec-14-2015,2015,Dec-12-2018,2018,0.06%,EXPE
Dec-14-2015,2015,Dec-12-2018,2018,25.22%,SYK
Dec-14-2015,2015,Dec-12-2018,2018,6.16%,LUV
Dec-14-2015,2015,Dec-12-2018,2018,14.92%,COST
Dec-14-2015,2015,Dec-12-2018,2018,13.49%,CVX
Dec-14-2015,2015,Dec-12-2018,2018,31.67%,RHT
Dec-14-2015,2015,Dec-12-2018,2018,27.99%,WDAY
Dec-14-2015,2015,Dec-12-2018,2018,20.96%,FFIV
Dec-14-2015,2015,Dec-12-2018,2018,22.11%,CRM
Dec-14-2015,2015,Dec-12-2018,2018,10.03%,AKAM
Dec-14-2015,2015,Dec-12-2018,2018,53.22%,PAYC
Dec-14-2015,2015,Dec-12-2018,2018,-19.42%,VSLR
Dec-14-2015,2015,Dec-12-2018,2018,13.32%,TWTR
Dec-14-2015,2015,Dec-12-2018,2018,16.62%,AAPL
Dec-14-2015,2015,Dec-12-2018,2018,6.07%,DAL
Dec-14-2015,2015,Dec-12-2018,2018,38.13%,ADBE
Dec-14-2015,2015,Dec-12-2018,2018,11.36%,FB
Dec-14-2015,2015,Dec-12-2018,2018,17.87%,IT
Dec-14-2015,2015,Dec-12-2018,2018,13.54%,GWRE
Dec-14-2015,2015,Dec-12-2018,2018,6.43%,NKE
Dec-12-2014,2014,Dec-12-2017,2017,26.12%,GOOG
Dec-12-2014,2014,Dec-12-2017,2017,3.38%,PG
Dec-12-2014,2014,Dec-12-2017,2017,9.93%,CVX
Dec-12-2014,2014,Dec-12-2017,2017,31.50%,FB
Dec-12-2014,2014,Dec-12-2017,2017,0.70%,QCOM
Dec-12-2014,2014,Dec-12-2017,2017,16.20%,LUV
Dec-12-2014,2014,Dec-12-2017,2017,31.42%,ADBE
Dec-12-2014,2014,Dec-12-2017,2017,20.31%,SYK
Dec-12-2014,2014,Dec-12-2017,2017,18.25%,AAPL
Dec-12-2014,2014,Dec-12-2017,2017,13.41%,IT
Dec-12-2014,2014,Dec-12-2017,2017,10.25%,NKE
Dec-12-2014,2014,Dec-12-2017,2017,-3.23%,RHHBY
Dec-12-2014,2014,Dec-12-2017,2017,24.92%,ROK
Dec-12-2014,2014,Dec-12-2017,2017,15.06%,COST
Dec-12-2014,2014,Dec-12-2017,2017,11.14%,EMN
